Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
ST9,PM10,10/01/2011 00:00,,ug/m3,R
ST9,PM10,11/01/2011 00:00,,ug/m3,R
ST9,PM10,12/01/2011 00:00,,ug/m3,R
ST9,PM10,13/01/2011 00:00,,ug/m3,R
ST9,PM10,14/01/2011 00:00,,ug/m3,R
ST9,PM10,15/01/2011 00:00,,ug/m3,R
ST9,PM10,16/01/2011 00:00,,ug/m3,R
ST9,PM10,17/01/2011 00:00,,ug/m3,R
ST9,PM10,18/01/2011 00:00,,ug/m3,R
ST9,PM10,19/01/2011 00:00,,ug/m3,R
ST9,PM10,20/01/2011 00:00,,ug/m3,R
ST9,PM10,21/01/2011 00:00,,ug/m3,R
ST9,PM10,22/01/2011 00:00,,ug/m3,R
ST9,PM10,23/01/2011 00:00,,ug/m3,R
ST9,PM10,24/01/2011 00:00,,ug/m3,R
ST9,PM10,25/01/2011 00:00,,ug/m3,R
ST9,PM10,26/01/2011 00:00,,ug/m3,R
ST9,PM10,27/01/2011 00:00,,ug/m3,R
ST9,PM10,28/01/2011 00:00,,ug/m3,R
ST9,PM10,29/01/2011 00:00,,ug/m3,R
ST9,PM10,30/01/2011 00:00,,ug/m3,R
ST9,PM10,31/01/2011 00:00,,ug/m3,R
ST9,PM10,01/02/2011 00:00,,ug/m3,R
ST9,PM10,02/02/2011 00:00,,ug/m3,R
ST9,PM10,03/02/2011 00:00,,ug/m3,R
ST9,PM10,04/02/2011 00:00,,ug/m3,R
ST9,PM10,05/02/2011 00:00,,ug/m3,R
ST9,PM10,06/02/2011 00:00,,ug/m3,R
ST9,PM10,07/02/2011 00:00,,ug/m3,R
ST9,PM10,08/02/2011 00:00,,ug/m3,R
ST9,PM10,09/02/2011 00:00,,ug/m3,R
ST9,PM10,10/02/2011 00:00,,ug/m3,R
ST9,PM10,11/02/2011 00:00,,ug/m3,R
ST9,PM10,12/02/2011 00:00,,ug/m3,R
ST9,PM10,13/02/2011 00:00,,ug/m3,R
ST9,PM10,14/02/2011 00:00,,ug/m3,R
ST9,PM10,15/02/2011 00:00,,ug/m3,R
ST9,PM10,16/02/2011 00:00,,ug/m3,R
ST9,PM10,17/02/2011 00:00,,ug/m3,R
ST9,PM10,18/02/2011 00:00,,ug/m3,R
ST9,PM10,19/02/2011 00:00,,ug/m3,R
ST9,PM10,20/02/2011 00:00,,ug/m3,R
ST9,PM10,21/02/2011 00:00,,ug/m3,R
ST9,PM10,22/02/2011 00:00,,ug/m3,R
ST9,PM10,23/02/2011 00:00,,ug/m3,R
ST9,PM10,24/02/2011 00:00,,ug/m3,R
ST9,PM10,25/02/2011 00:00,,ug/m3,R
ST9,PM10,26/02/2011 00:00,,ug/m3,R
ST9,PM10,27/02/2011 00:00,,ug/m3,R
ST9,PM10,28/02/2011 00:00,,ug/m3,R
ST9,PM10,01/03/2011 00:00,,ug/m3,R
ST9,PM10,02/03/2011 00:00,,ug/m3,R
ST9,PM10,03/03/2011 00:00,,ug/m3,R
ST9,PM10,04/03/2011 00:00,,ug/m3,R
ST9,PM10,05/03/2011 00:00,,ug/m3,R
ST9,PM10,06/03/2011 00:00,,ug/m3,R
ST9,PM10,07/03/2011 00:00,,ug/m3,R
ST9,PM10,08/03/2011 00:00,,ug/m3,R
ST9,PM10,09/03/2011 00:00,,ug/m3,R
ST9,PM10,10/03/2011 00:00,,ug/m3,R
ST9,PM10,11/03/2011 00:00,,ug/m3,R
ST9,PM10,12/03/2011 00:00,,ug/m3,R
ST9,PM10,13/03/2011 00:00,,ug/m3,R
ST9,PM10,14/03/2011 00:00,,ug/m3,R
ST9,PM10,15/03/2011 00:00,,ug/m3,R
ST9,PM10,16/03/2011 00:00,,ug/m3,R
ST9,PM10,17/03/2011 00:00,,ug/m3,R
ST9,PM10,18/03/2011 00:00,,ug/m3,R
ST9,PM10,19/03/2011 00:00,,ug/m3,R
ST9,PM10,20/03/2011 00:00,,ug/m3,R
ST9,PM10,21/03/2011 00:00,,ug/m3,R
ST9,PM10,22/03/2011 00:00,,ug/m3,R
ST9,PM10,23/03/2011 00:00,,ug/m3,R
ST9,PM10,24/03/2011 00:00,,ug/m3,R
ST9,PM10,25/03/2011 00:00,,ug/m3,R
ST9,PM10,26/03/2011 00:00,,ug/m3,R
ST9,PM10,27/03/2011 00:00,,ug/m3,R
ST9,PM10,28/03/2011 00:00,,ug/m3,R
ST9,PM10,29/03/2011 00:00,,ug/m3,R
ST9,PM10,30/03/2011 00:00,,ug/m3,R
ST9,PM10,31/03/2011 00:00,,ug/m3,R
ST9,PM10,01/04/2011 00:00,,ug/m3,R
ST9,PM10,02/04/2011 00:00,,ug/m3,R
ST9,PM10,03/04/2011 00:00,,ug/m3,R
ST9,PM10,04/04/2011 00:00,,ug/m3,R
ST9,PM10,05/04/2011 00:00,,ug/m3,R
ST9,PM10,06/04/2011 00:00,,ug/m3,R
ST9,PM10,07/04/2011 00:00,,ug/m3,R
ST9,PM10,08/04/2011 00:00,,ug/m3,R
ST9,PM10,09/04/2011 00:00,,ug/m3,R
ST9,PM10,10/04/2011 00:00,,ug/m3,R
ST9,PM10,11/04/2011 00:00,,ug/m3,R
ST9,PM10,12/04/2011 00:00,,ug/m3,R
ST9,PM10,13/04/2011 00:00,,ug/m3,R
ST9,PM10,14/04/2011 00:00,,ug/m3,R
ST9,PM10,15/04/2011 00:00,,ug/m3,R
ST9,PM10,16/04/2011 00:00,,ug/m3,R
ST9,PM10,17/04/2011 00:00,,ug/m3,R
ST9,PM10,18/04/2011 00:00,,ug/m3,R
ST9,PM10,19/04/2011 00:00,,ug/m3,R
ST9,PM10,20/04/2011 00:00,,ug/m3,R
ST9,PM10,21/04/2011 00:00,,ug/m3,R
ST9,PM10,22/04/2011 00:00,,ug/m3,R
ST9,PM10,23/04/2011 00:00,,ug/m3,R
ST9,PM10,24/04/2011 00:00,,ug/m3,R
ST9,PM10,25/04/2011 00:00,,ug/m3,R
ST9,PM10,26/04/2011 00:00,,ug/m3,R
ST9,PM10,27/04/2011 00:00,,ug/m3,R
ST9,PM10,28/04/2011 00:00,,ug/m3,R
ST9,PM10,29/04/2011 00:00,,ug/m3,R
ST9,PM10,30/04/2011 00:00,,ug/m3,R
ST9,PM10,01/05/2011 00:00,,ug/m3,R
ST9,PM10,02/05/2011 00:00,,ug/m3,R
ST9,PM10,03/05/2011 00:00,,ug/m3,R
ST9,PM10,04/05/2011 00:00,,ug/m3,R
ST9,PM10,05/05/2011 00:00,,ug/m3,R
ST9,PM10,06/05/2011 00:00,,ug/m3,R
ST9,PM10,07/05/2011 00:00,,ug/m3,R
ST9,PM10,08/05/2011 00:00,,ug/m3,R
ST9,PM10,09/05/2011 00:00,,ug/m3,R
ST9,PM10,10/05/2011 00:00,,ug/m3,R
ST9,PM10,11/05/2011 00:00,,ug/m3,R
ST9,PM10,12/05/2011 00:00,,ug/m3,R
ST9,PM10,13/05/2011 00:00,,ug/m3,R
ST9,PM10,14/05/2011 00:00,,ug/m3,R
ST9,PM10,15/05/2011 00:00,,ug/m3,R
ST9,PM10,16/05/2011 00:00,,ug/m3,R
ST9,PM10,17/05/2011 00:00,,ug/m3,R
ST9,PM10,18/05/2011 00:00,,ug/m3,R
ST9,PM10,19/05/2011 00:00,,ug/m3,R
ST9,PM10,20/05/2011 00:00,,ug/m3,R
ST9,PM10,21/05/2011 00:00,,ug/m3,R
ST9,PM10,22/05/2011 00:00,,ug/m3,R
ST9,PM10,23/05/2011 00:00,,ug/m3,R
ST9,PM10,24/05/2011 00:00,,ug/m3,R
ST9,PM10,25/05/2011 00:00,,ug/m3,R
ST9,PM10,26/05/2011 00:00,,ug/m3,R
ST9,PM10,27/05/2011 00:00,,ug/m3,R
ST9,PM10,28/05/2011 00:00,,ug/m3,R
ST9,PM10,29/05/2011 00:00,,ug/m3,R
ST9,PM10,30/05/2011 00:00,,ug/m3,R
ST9,PM10,31/05/2011 00:00,,ug/m3,R
ST9,PM10,01/06/2011 00:00,,ug/m3,R
ST9,PM10,02/06/2011 00:00,,ug/m3,R
ST9,PM10,03/06/2011 00:00,,ug/m3,R
ST9,PM10,04/06/2011 00:00,,ug/m3,R
ST9,PM10,05/06/2011 00:00,,ug/m3,R
ST9,PM10,06/06/2011 00:00,,ug/m3,R
ST9,PM10,07/06/2011 00:00,,ug/m3,R
ST9,PM10,08/06/2011 00:00,,ug/m3,R
ST9,PM10,09/06/2011 00:00,,ug/m3,R
ST9,PM10,10/06/2011 00:00,,ug/m3,R
ST9,PM10,11/06/2011 00:00,,ug/m3,R
ST9,PM10,12/06/2011 00:00,,ug/m3,R
ST9,PM10,13/06/2011 00:00,,ug/m3,R
ST9,PM10,14/06/2011 00:00,,ug/m3,R
ST9,PM10,15/06/2011 00:00,,ug/m3,R
ST9,PM10,16/06/2011 00:00,,ug/m3,R
ST9,PM10,17/06/2011 00:00,,ug/m3,R
ST9,PM10,18/06/2011 00:00,,ug/m3,R
ST9,PM10,19/06/2011 00:00,,ug/m3,R
ST9,PM10,20/06/2011 00:00,,ug/m3,R
ST9,PM10,21/06/2011 00:00,,ug/m3,R
ST9,PM10,22/06/2011 00:00,,ug/m3,R
ST9,PM10,23/06/2011 00:00,,ug/m3,R
ST9,PM10,24/06/2011 00:00,,ug/m3,R
ST9,PM10,25/06/2011 00:00,,ug/m3,R
ST9,PM10,26/06/2011 00:00,,ug/m3,R
ST9,PM10,27/06/2011 00:00,,ug/m3,R
ST9,PM10,28/06/2011 00:00,,ug/m3,R
ST9,PM10,29/06/2011 00:00,,ug/m3,R
ST9,PM10,30/06/2011 00:00,,ug/m3,R
ST9,PM10,01/07/2011 00:00,,ug/m3,R
ST9,PM10,02/07/2011 00:00,,ug/m3,R
ST9,PM10,03/07/2011 00:00,,ug/m3,R
ST9,PM10,04/07/2011 00:00,,ug/m3,R
ST9,PM10,05/07/2011 00:00,,ug/m3,R
ST9,PM10,06/07/2011 00:00,,ug/m3,R
ST9,PM10,07/07/2011 00:00,,ug/m3,R
ST9,PM10,08/07/2011 00:00,,ug/m3,R
ST9,PM10,09/07/2011 00:00,,ug/m3,R
ST9,PM10,10/07/2011 00:00,,ug/m3,R
ST9,PM10,11/07/2011 00:00,,ug/m3,R
ST9,PM10,12/07/2011 00:00,,ug/m3,R
ST9,PM10,13/07/2011 00:00,,ug/m3,R
ST9,PM10,14/07/2011 00:00,,ug/m3,R
ST9,PM10,15/07/2011 00:00,,ug/m3,R
ST9,PM10,16/07/2011 00:00,,ug/m3,R
ST9,PM10,17/07/2011 00:00,,ug/m3,R
ST9,PM10,18/07/2011 00:00,,ug/m3,R
ST9,PM10,19/07/2011 00:00,,ug/m3,R
ST9,PM10,20/07/2011 00:00,,ug/m3,R
ST9,PM10,21/07/2011 00:00,,ug/m3,R
ST9,PM10,22/07/2011 00:00,,ug/m3,R
ST9,PM10,23/07/2011 00:00,,ug/m3,R
ST9,PM10,24/07/2011 00:00,,ug/m3,R
ST9,PM10,25/07/2011 00:00,,ug/m3,R
ST9,PM10,26/07/2011 00:00,,ug/m3,R
ST9,PM10,27/07/2011 00:00,,ug/m3,R
ST9,PM10,28/07/2011 00:00,,ug/m3,R
ST9,PM10,29/07/2011 00:00,,ug/m3,R
ST9,PM10,30/07/2011 00:00,,ug/m3,R
ST9,PM10,31/07/2011 00:00,,ug/m3,R
ST9,PM10,01/08/2011 00:00,,ug/m3,R
ST9,PM10,02/08/2011 00:00,,ug/m3,R
ST9,PM10,03/08/2011 00:00,,ug/m3,R
ST9,PM10,04/08/2011 00:00,,ug/m3,R
ST9,PM10,05/08/2011 00:00,,ug/m3,R
ST9,PM10,06/08/2011 00:00,,ug/m3,R
ST9,PM10,07/08/2011 00:00,,ug/m3,R
ST9,PM10,08/08/2011 00:00,,ug/m3,R
ST9,PM10,09/08/2011 00:00,,ug/m3,R
ST9,PM10,10/08/2011 00:00,,ug/m3,R
ST9,PM10,11/08/2011 00:00,,ug/m3,R
ST9,PM10,12/08/2011 00:00,,ug/m3,R
ST9,PM10,13/08/2011 00:00,,ug/m3,R
ST9,PM10,14/08/2011 00:00,,ug/m3,R
ST9,PM10,15/08/2011 00:00,,ug/m3,R
ST9,PM10,16/08/2011 00:00,,ug/m3,R
ST9,PM10,17/08/2011 00:00,,ug/m3,R
ST9,PM10,18/08/2011 00:00,,ug/m3,R
ST9,PM10,19/08/2011 00:00,,ug/m3,R
ST9,PM10,20/08/2011 00:00,,ug/m3,R
ST9,PM10,21/08/2011 00:00,,ug/m3,R
ST9,PM10,22/08/2011 00:00,,ug/m3,R
ST9,PM10,23/08/2011 00:00,,ug/m3,R
ST9,PM10,24/08/2011 00:00,,ug/m3,R
ST9,PM10,25/08/2011 00:00,,ug/m3,R
ST9,PM10,26/08/2011 00:00,,ug/m3,R
ST9,PM10,27/08/2011 00:00,,ug/m3,R
ST9,PM10,28/08/2011 00:00,,ug/m3,R
ST9,PM10,29/08/2011 00:00,,ug/m3,R
ST9,PM10,30/08/2011 00:00,,ug/m3,R
ST9,PM10,31/08/2011 00:00,,ug/m3,R
ST9,PM10,01/09/2011 00:00,,ug/m3,R
ST9,PM10,02/09/2011 00:00,,ug/m3,R
ST9,PM10,03/09/2011 00:00,,ug/m3,R
ST9,PM10,04/09/2011 00:00,,ug/m3,R
ST9,PM10,05/09/2011 00:00,,ug/m3,R
ST9,PM10,06/09/2011 00:00,,ug/m3,R
ST9,PM10,07/09/2011 00:00,,ug/m3,R
ST9,PM10,08/09/2011 00:00,,ug/m3,R
ST9,PM10,09/09/2011 00:00,,ug/m3,R
ST9,PM10,10/09/2011 00:00,,ug/m3,R
ST9,PM10,11/09/2011 00:00,,ug/m3,R
ST9,PM10,12/09/2011 00:00,,ug/m3,R
ST9,PM10,13/09/2011 00:00,,ug/m3,R
ST9,PM10,14/09/2011 00:00,,ug/m3,R
ST9,PM10,15/09/2011 00:00,,ug/m3,R
ST9,PM10,16/09/2011 00:00,,ug/m3,R
ST9,PM10,17/09/2011 00:00,,ug/m3,R
ST9,PM10,18/09/2011 00:00,,ug/m3,R
ST9,PM10,19/09/2011 00:00,,ug/m3,R
ST9,PM10,20/09/2011 00:00,,ug/m3,R
ST9,PM10,21/09/2011 00:00,,ug/m3,R
ST9,PM10,22/09/2011 00:00,,ug/m3,R
ST9,PM10,23/09/2011 00:00,,ug/m3,R
ST9,PM10,24/09/2011 00:00,,ug/m3,R
ST9,PM10,25/09/2011 00:00,,ug/m3,R
ST9,PM10,26/09/2011 00:00,,ug/m3,R
ST9,PM10,27/09/2011 00:00,,ug/m3,R
ST9,PM10,28/09/2011 00:00,,ug/m3,R
ST9,PM10,29/09/2011 00:00,,ug/m3,R
ST9,PM10,30/09/2011 00:00,,ug/m3,R
ST9,PM10,01/10/2011 00:00,,ug/m3,R
ST9,PM10,02/10/2011 00:00,,ug/m3,R
ST9,PM10,03/10/2011 00:00,,ug/m3,R
ST9,PM10,04/10/2011 00:00,,ug/m3,R
ST9,PM10,05/10/2011 00:00,,ug/m3,R
ST9,PM10,06/10/2011 00:00,,ug/m3,R
ST9,PM10,07/10/2011 00:00,,ug/m3,R
ST9,PM10,08/10/2011 00:00,,ug/m3,R
ST9,PM10,09/10/2011 00:00,,ug/m3,R
ST9,PM10,10/10/2011 00:00,,ug/m3,R
ST9,PM10,11/10/2011 00:00,,ug/m3,R
ST9,PM10,12/10/2011 00:00,,ug/m3,R
ST9,PM10,13/10/2011 00:00,,ug/m3,R
ST9,PM10,14/10/2011 00:00,,ug/m3,R
ST9,PM10,15/10/2011 00:00,,ug/m3,R
ST9,PM10,16/10/2011 00:00,,ug/m3,R
ST9,PM10,17/10/2011 00:00,,ug/m3,R
ST9,PM10,18/10/2011 00:00,,ug/m3,R
ST9,PM10,19/10/2011 00:00,,ug/m3,R
ST9,PM10,20/10/2011 00:00,,ug/m3,R
ST9,PM10,21/10/2011 00:00,,ug/m3,R
ST9,PM10,22/10/2011 00:00,,ug/m3,R
ST9,PM10,23/10/2011 00:00,,ug/m3,R
ST9,PM10,24/10/2011 00:00,,ug/m3,R
ST9,PM10,25/10/2011 00:00,,ug/m3,R
ST9,PM10,26/10/2011 00:00,,ug/m3,R
ST9,PM10,27/10/2011 00:00,,ug/m3,R
ST9,PM10,28/10/2011 00:00,,ug/m3,R
ST9,PM10,29/10/2011 00:00,,ug/m3,R
ST9,PM10,30/10/2011 00:00,,ug/m3,R
ST9,PM10,31/10/2011 00:00,,ug/m3,R
ST9,PM10,01/11/2011 00:00,,ug/m3,R
ST9,PM10,02/11/2011 00:00,,ug/m3,R
ST9,PM10,03/11/2011 00:00,,ug/m3,R
ST9,PM10,04/11/2011 00:00,,ug/m3,R
ST9,PM10,05/11/2011 00:00,,ug/m3,R
ST9,PM10,06/11/2011 00:00,,ug/m3,R
ST9,PM10,07/11/2011 00:00,,ug/m3,R
ST9,PM10,08/11/2011 00:00,,ug/m3,R
ST9,PM10,09/11/2011 00:00,,ug/m3,R
ST9,PM10,10/11/2011 00:00,,ug/m3,R
ST9,PM10,11/11/2011 00:00,,ug/m3,R
ST9,PM10,12/11/2011 00:00,,ug/m3,R
ST9,PM10,13/11/2011 00:00,,ug/m3,R
ST9,PM10,14/11/2011 00:00,,ug/m3,R
ST9,PM10,15/11/2011 00:00,,ug/m3,R
ST9,PM10,16/11/2011 00:00,,ug/m3,R
ST9,PM10,17/11/2011 00:00,,ug/m3,R
ST9,PM10,18/11/2011 00:00,,ug/m3,R
ST9,PM10,19/11/2011 00:00,,ug/m3,R
ST9,PM10,20/11/2011 00:00,,ug/m3,R
ST9,PM10,21/11/2011 00:00,,ug/m3,R
ST9,PM10,22/11/2011 00:00,,ug/m3,R
ST9,PM10,23/11/2011 00:00,,ug/m3,R
ST9,PM10,24/11/2011 00:00,,ug/m3,R
ST9,PM10,25/11/2011 00:00,,ug/m3,R
ST9,PM10,26/11/2011 00:00,,ug/m3,R
ST9,PM10,27/11/2011 00:00,,ug/m3,R
ST9,PM10,28/11/2011 00:00,,ug/m3,R
ST9,PM10,29/11/2011 00:00,,ug/m3,R
ST9,PM10,30/11/2011 00:00,,ug/m3,R
ST9,PM10,01/12/2011 00:00,,ug/m3,R
ST9,PM10,02/12/2011 00:00,,ug/m3,R
ST9,PM10,03/12/2011 00:00,,ug/m3,R
ST9,PM10,04/12/2011 00:00,,ug/m3,R
ST9,PM10,05/12/2011 00:00,,ug/m3,R
ST9,PM10,06/12/2011 00:00,,ug/m3,R
ST9,PM10,07/12/2011 00:00,,ug/m3,R
ST9,PM10,08/12/2011 00:00,,ug/m3,R
ST9,PM10,09/12/2011 00:00,,ug/m3,R
ST9,PM10,10/12/2011 00:00,,ug/m3,R
ST9,PM10,11/12/2011 00:00,,ug/m3,R
ST9,PM10,12/12/2011 00:00,,ug/m3,R
ST9,PM10,13/12/2011 00:00,,ug/m3,R
ST9,PM10,14/12/2011 00:00,,ug/m3,R
ST9,PM10,15/12/2011 00:00,,ug/m3,R
ST9,PM10,16/12/2011 00:00,,ug/m3,R
ST9,PM10,17/12/2011 00:00,,ug/m3,R
ST9,PM10,18/12/2011 00:00,,ug/m3,R
ST9,PM10,19/12/2011 00:00,,ug/m3,R
ST9,PM10,20/12/2011 00:00,,ug/m3,R
ST9,PM10,21/12/2011 00:00,,ug/m3,R
ST9,PM10,22/12/2011 00:00,,ug/m3,R
ST9,PM10,23/12/2011 00:00,,ug/m3,R
ST9,PM10,24/12/2011 00:00,,ug/m3,R
ST9,PM10,25/12/2011 00:00,,ug/m3,R
ST9,PM10,26/12/2011 00:00,,ug/m3,R
ST9,PM10,27/12/2011 00:00,,ug/m3,R
ST9,PM10,28/12/2011 00:00,,ug/m3,R
ST9,PM10,29/12/2011 00:00,,ug/m3,R
ST9,PM10,30/12/2011 00:00,,ug/m3,R
ST9,PM10,31/12/2011 00:00,,ug/m3,R
ST9,PM10,01/01/2012 00:00,,ug/m3,R
ST9,PM10,02/01/2012 00:00,,ug/m3,R
ST9,PM10,03/01/2012 00:00,,ug/m3,R
ST9,PM10,04/01/2012 00:00,,ug/m3,R
ST9,PM10,05/01/2012 00:00,,ug/m3,R
ST9,PM10,06/01/2012 00:00,,ug/m3,R
ST9,PM10,07/01/2012 00:00,,ug/m3,R
ST9,PM10,08/01/2012 00:00,,ug/m3,R
ST9,PM10,09/01/2012 00:00,,ug/m3,R
ST9,PM10,10/01/2012 00:00,,ug/m3,R
ST9,PM10,11/01/2012 00:00,,ug/m3,R
ST9,PM10,12/01/2012 00:00,,ug/m3,R
ST9,PM10,13/01/2012 00:00,,ug/m3,R
ST9,PM10,14/01/2012 00:00,,ug/m3,R
ST9,PM10,15/01/2012 00:00,,ug/m3,R
ST9,PM10,16/01/2012 00:00,,ug/m3,R
ST9,PM10,17/01/2012 00:00,,ug/m3,R
ST9,PM10,18/01/2012 00:00,,ug/m3,R
ST9,PM10,19/01/2012 00:00,,ug/m3,R
ST9,PM10,20/01/2012 00:00,,ug/m3,R
ST9,PM10,21/01/2012 00:00,,ug/m3,R
ST9,PM10,22/01/2012 00:00,,ug/m3,R
ST9,PM10,23/01/2012 00:00,,ug/m3,R
ST9,PM10,24/01/2012 00:00,,ug/m3,R
ST9,PM10,25/01/2012 00:00,,ug/m3,R
ST9,PM10,26/01/2012 00:00,,ug/m3,R
ST9,PM10,27/01/2012 00:00,,ug/m3,R
ST9,PM10,28/01/2012 00:00,,ug/m3,R
ST9,PM10,29/01/2012 00:00,,ug/m3,R
ST9,PM10,30/01/2012 00:00,,ug/m3,R
ST9,PM10,31/01/2012 00:00,,ug/m3,R
ST9,PM10,01/02/2012 00:00,,ug/m3,R
ST9,PM10,02/02/2012 00:00,,ug/m3,R
ST9,PM10,03/02/2012 00:00,,ug/m3,R
ST9,PM10,04/02/2012 00:00,,ug/m3,R
ST9,PM10,05/02/2012 00:00,,ug/m3,R
ST9,PM10,06/02/2012 00:00,,ug/m3,R
ST9,PM10,07/02/2012 00:00,,ug/m3,R
ST9,PM10,08/02/2012 00:00,,ug/m3,R
ST9,PM10,09/02/2012 00:00,,ug/m3,R
ST9,PM10,10/02/2012 00:00,,ug/m3,R
ST9,PM10,11/02/2012 00:00,,ug/m3,R
ST9,PM10,12/02/2012 00:00,,ug/m3,R
ST9,PM10,13/02/2012 00:00,,ug/m3,R
ST9,PM10,14/02/2012 00:00,,ug/m3,R
ST9,PM10,15/02/2012 00:00,,ug/m3,R
ST9,PM10,16/02/2012 00:00,,ug/m3,R
ST9,PM10,17/02/2012 00:00,,ug/m3,R
ST9,PM10,18/02/2012 00:00,,ug/m3,R
ST9,PM10,19/02/2012 00:00,,ug/m3,R
ST9,PM10,20/02/2012 00:00,,ug/m3,R
ST9,PM10,21/02/2012 00:00,,ug/m3,R
ST9,PM10,22/02/2012 00:00,,ug/m3,R
ST9,PM10,23/02/2012 00:00,,ug/m3,R
ST9,PM10,24/02/2012 00:00,,ug/m3,R
ST9,PM10,25/02/2012 00:00,,ug/m3,R
ST9,PM10,26/02/2012 00:00,,ug/m3,R
ST9,PM10,27/02/2012 00:00,,ug/m3,R
ST9,PM10,28/02/2012 00:00,,ug/m3,R
ST9,PM10,29/02/2012 00:00,,ug/m3,R
ST9,PM10,01/03/2012 00:00,,ug/m3,R
ST9,PM10,02/03/2012 00:00,,ug/m3,R
ST9,PM10,03/03/2012 00:00,,ug/m3,R
ST9,PM10,04/03/2012 00:00,,ug/m3,R
ST9,PM10,05/03/2012 00:00,,ug/m3,R
ST9,PM10,06/03/2012 00:00,,ug/m3,R
ST9,PM10,07/03/2012 00:00,,ug/m3,R
ST9,PM10,08/03/2012 00:00,,ug/m3,R
ST9,PM10,09/03/2012 00:00,,ug/m3,R
ST9,PM10,10/03/2012 00:00,,ug/m3,R
ST9,PM10,11/03/2012 00:00,,ug/m3,R
ST9,PM10,12/03/2012 00:00,,ug/m3,R
ST9,PM10,13/03/2012 00:00,,ug/m3,R
ST9,PM10,14/03/2012 00:00,,ug/m3,R
ST9,PM10,15/03/2012 00:00,,ug/m3,R
ST9,PM10,16/03/2012 00:00,,ug/m3,R
ST9,PM10,17/03/2012 00:00,,ug/m3,R
ST9,PM10,18/03/2012 00:00,,ug/m3,R
ST9,PM10,19/03/2012 00:00,,ug/m3,R
ST9,PM10,20/03/2012 00:00,,ug/m3,R
ST9,PM10,21/03/2012 00:00,,ug/m3,R
ST9,PM10,22/03/2012 00:00,,ug/m3,R
ST9,PM10,23/03/2012 00:00,,ug/m3,R
ST9,PM10,24/03/2012 00:00,,ug/m3,R
ST9,PM10,25/03/2012 00:00,,ug/m3,R
ST9,PM10,26/03/2012 00:00,,ug/m3,R
ST9,PM10,27/03/2012 00:00,,ug/m3,R
ST9,PM10,28/03/2012 00:00,,ug/m3,R
ST9,PM10,29/03/2012 00:00,,ug/m3,R
ST9,PM10,30/03/2012 00:00,,ug/m3,R
ST9,PM10,31/03/2012 00:00,,ug/m3,R
ST9,PM10,01/04/2012 00:00,,ug/m3,R
ST9,PM10,02/04/2012 00:00,,ug/m3,R
ST9,PM10,03/04/2012 00:00,,ug/m3,R
ST9,PM10,04/04/2012 00:00,,ug/m3,R
ST9,PM10,05/04/2012 00:00,,ug/m3,R
ST9,PM10,06/04/2012 00:00,,ug/m3,R
ST9,PM10,07/04/2012 00:00,,ug/m3,R
ST9,PM10,08/04/2012 00:00,,ug/m3,R
ST9,PM10,09/04/2012 00:00,,ug/m3,R
ST9,PM10,10/04/2012 00:00,,ug/m3,R
ST9,PM10,11/04/2012 00:00,,ug/m3,R
ST9,PM10,12/04/2012 00:00,,ug/m3,R
ST9,PM10,13/04/2012 00:00,,ug/m3,R
ST9,PM10,14/04/2012 00:00,,ug/m3,R
ST9,PM10,15/04/2012 00:00,,ug/m3,R
ST9,PM10,16/04/2012 00:00,,ug/m3,R
ST9,PM10,17/04/2012 00:00,,ug/m3,R
ST9,PM10,18/04/2012 00:00,,ug/m3,R
ST9,PM10,19/04/2012 00:00,,ug/m3,R
ST9,PM10,20/04/2012 00:00,,ug/m3,R
ST9,PM10,21/04/2012 00:00,,ug/m3,R
ST9,PM10,22/04/2012 00:00,,ug/m3,R
ST9,PM10,23/04/2012 00:00,,ug/m3,R
ST9,PM10,24/04/2012 00:00,,ug/m3,R
ST9,PM10,25/04/2012 00:00,,ug/m3,R
ST9,PM10,26/04/2012 00:00,,ug/m3,R
ST9,PM10,27/04/2012 00:00,,ug/m3,R
ST9,PM10,28/04/2012 00:00,,ug/m3,R
ST9,PM10,29/04/2012 00:00,,ug/m3,R
ST9,PM10,30/04/2012 00:00,,ug/m3,R
ST9,PM10,01/05/2012 00:00,,ug/m3,R
ST9,PM10,02/05/2012 00:00,,ug/m3,R
ST9,PM10,03/05/2012 00:00,,ug/m3,R
ST9,PM10,04/05/2012 00:00,,ug/m3,R
ST9,PM10,05/05/2012 00:00,,ug/m3,R
ST9,PM10,06/05/2012 00:00,,ug/m3,R
ST9,PM10,07/05/2012 00:00,,ug/m3,R
ST9,PM10,08/05/2012 00:00,,ug/m3,R
ST9,PM10,09/05/2012 00:00,,ug/m3,R
ST9,PM10,10/05/2012 00:00,,ug/m3,R
ST9,PM10,11/05/2012 00:00,,ug/m3,R
ST9,PM10,12/05/2012 00:00,,ug/m3,R
ST9,PM10,13/05/2012 00:00,,ug/m3,R
ST9,PM10,14/05/2012 00:00,,ug/m3,R
ST9,PM10,15/05/2012 00:00,,ug/m3,R
ST9,PM10,16/05/2012 00:00,,ug/m3,R
ST9,PM10,17/05/2012 00:00,,ug/m3,R
ST9,PM10,18/05/2012 00:00,,ug/m3,R
ST9,PM10,19/05/2012 00:00,,ug/m3,R
ST9,PM10,20/05/2012 00:00,,ug/m3,R
ST9,PM10,21/05/2012 00:00,,ug/m3,R
